County,Year,Year Code,Drug/Alcohol Induced Cause,Deaths,Population
"Summers County, WV",2004,2004,,164,13997
"Summers County, WV",2008,2008,All other non-drug and non-alcohol causes,189,13712
"Summers County, WV",2008,2008,,198,13712
"Summers County, WV",2012,2012,All other non-drug and non-alcohol causes,161,13737
"Summers County, WV",2012,2012,,171,13737
"Summers County, WV",2016,2016,All other non-drug and non-alcohol causes,176,12872
"Summers County, WV",2016,2016,,186,12872
"Summers County, WV",,,,719,54318
"Taylor County, WV",2004,2004,All other non-drug and non-alcohol causes,192,16247
"Taylor County, WV",2004,2004,,196,16247
"Taylor County, WV",2008,2008,All other non-drug and non-alcohol causes,190,16792
"Taylor County, WV",2008,2008,,195,16792
"Taylor County, WV",2012,2012,All other non-drug and non-alcohol causes,173,16991
"Taylor County, WV",2012,2012,,179,16991
"Taylor County, WV",2016,2016,All other non-drug and non-alcohol causes,195,16859
"Taylor County, WV",2016,2016,,199,16859
"Taylor County, WV",,,,769,66889
"Tucker County, WV",2004,2004,All other non-drug and non-alcohol causes,83,7223
"Tucker County, WV",2004,2004,,85,7223
"Tucker County, WV",2008,2008,All other non-drug and non-alcohol causes,83,7160
"Tucker County, WV",2008,2008,,83,7160
"Tucker County, WV",2012,2012,All other non-drug and non-alcohol causes,85,6995
"Tucker County, WV",2012,2012,,88,6995
"Tucker County, WV",2016,2016,All other non-drug and non-alcohol causes,92,6926
"Tucker County, WV",2016,2016,,95,6926
"Tucker County, WV",,,,351,28304
"Tyler County, WV",2004,2004,All other non-drug and non-alcohol causes,101,9517
"Tyler County, WV",2004,2004,,103,9517
"Tyler County, WV",2008,2008,All other non-drug and non-alcohol causes,106,9363
"Tyler County, WV",2008,2008,,109,9363
"Tyler County, WV",2012,2012,All other non-drug and non-alcohol causes,121,9037
"Tyler County, WV",2012,2012,,124,9037
"Tyler County, WV",2016,2016,All other non-drug and non-alcohol causes,118,8972
"Tyler County, WV",2016,2016,,122,8972
"Tyler County, WV",,,,458,36889
"Upshur County, WV",2004,2004,All other non-drug and non-alcohol causes,262,23820
"Upshur County, WV",2004,2004,,267,23820
"Upshur County, WV",2008,2008,All other non-drug and non-alcohol causes,233,23929
"Upshur County, WV",2008,2008,,238,23929
"Upshur County, WV",2012,2012,All other non-drug and non-alcohol causes,254,24477
"Upshur County, WV",2012,2012,,261,24477
"Upshur County, WV",2016,2016,All other non-drug and non-alcohol causes,300,24658
"Upshur County, WV",2016,2016,,308,24658
"Upshur County, WV",,,,1074,96884
"Wayne County, WV",2004,2004,All other non-drug and non-alcohol causes,435,42955
"Wayne County, WV",2004,2004,,447,42955
"Wayne County, WV",2008,2008,All other non-drug and non-alcohol causes,439,42767
"Wayne County, WV",2008,2008,,445,42767
"Wayne County, WV",2012,2012,Drug poisonings (overdose) Unintentional (X40-X44),10,41649
"Wayne County, WV",2012,2012,All other non-drug and non-alcohol causes,445,41649
"Wayne County, WV",2012,2012,,459,41649
"Wayne County, WV",2016,2016,Drug poisonings (overdose) Unintentional (X40-X44),37,40531
"Wayne County, WV",2016,2016,All other non-drug and non-alcohol causes,473,40531
"Wayne County, WV",2016,2016,,513,40531
"Wayne County, WV",,,,1864,167902
"Webster County, WV",2004,2004,All other non-drug and non-alcohol causes,117,9612
"Webster County, WV",2004,2004,,120,9612
"Webster County, WV",2008,2008,All other non-drug and non-alcohol causes,106,9260
"Webster County, WV",2008,2008,,110,9260
"Webster County, WV",2012,2012,All other non-drug and non-alcohol causes,125,9043
"Webster County, WV",2012,2012,,128,9043
"Webster County, WV",2016,2016,All other non-drug and non-alcohol causes,114,8646
"Webster County, WV",2016,2016,,117,8646
"Webster County, WV",,,,475,36561
"Wetzel County, WV",2004,2004,All other non-drug and non-alcohol causes,225,17183
"Wetzel County, WV",2004,2004,,231,17183
"Wetzel County, WV",2008,2008,All other non-drug and non-alcohol causes,204,16645
"Wetzel County, WV",2008,2008,,206,16645
"Wetzel County, WV",2012,2012,All other non-drug and non-alcohol causes,223,16422
"Wetzel County, WV",2012,2012,,227,16422
"Wetzel County, WV",2016,2016,All other non-drug and non-alcohol causes,190,15640
"Wetzel County, WV",2016,2016,,197,15640
"Wetzel County, WV",,,,861,65890
"Wirt County, WV",2004,2004,All other non-drug and non-alcohol causes,55,5813
"Wirt County, WV",2004,2004,,58,5813
"Wirt County, WV",2008,2008,All other non-drug and non-alcohol causes,67,5745
"Wirt County, WV",2008,2008,,68,5745
"Wirt County, WV",2012,2012,All other non-drug and non-alcohol causes,52,5847
"Wirt County, WV",2012,2012,,52,5847
"Wirt County, WV",2016,2016,All other non-drug and non-alcohol causes,54,5806
"Wirt County, WV",2016,2016,,54,5806
"Wirt County, WV",,,,232,23211
"Wood County, WV",2004,2004,All other non-drug and non-alcohol causes,921,86892
"Wood County, WV",2004,2004,,937,86892
"Wood County, WV",2008,2008,Drug poisonings (overdose) Unintentional (X40-X44),12,86783
"Wood County, WV",2008,2008,All other non-drug and non-alcohol causes,994,86783
"Wood County, WV",2008,2008,,1019,86783
"Wood County, WV",2012,2012,Drug poisonings (overdose) Unintentional (X40-X44),13,86701
"Wood County, WV",2012,2012,All other non-drug and non-alcohol causes,978,86701
"Wood County, WV",2012,2012,,1007,86701
"Wood County, WV",2016,2016,Drug poisonings (overdose) Unintentional (X40-X44),40,85643
"Wood County, WV",2016,2016,All other alcohol-induced causes,11,85643
"Wood County, WV",2016,2016,All other non-drug and non-alcohol causes,1052,85643
"Wood County, WV",2016,2016,,1110,85643
"Wood County, WV",,,,4073,346019
"Wyoming County, WV",2004,2004,Drug poisonings (overdose) Unintentional (X40-X44),11,24482
"Wyoming County, WV",2004,2004,All other non-drug and non-alcohol causes,313,24482
"Wyoming County, WV",2004,2004,,327,24482
"Wyoming County, WV",2008,2008,Drug poisonings (overdose) Unintentional (X40-X44),18,23957
"Wyoming County, WV",2008,2008,All other non-drug and non-alcohol causes,293,23957
"Wyoming County, WV",2008,2008,,315,23957
"Wyoming County, WV",2012,2012,Drug poisonings (overdose) Unintentional (X40-X44),21,23273
"Wyoming County, WV",2012,2012,All other non-drug and non-alcohol causes,328,23273
"Wyoming County, WV",2012,2012,,351,23273
"Wyoming County, WV",2016,2016,Drug poisonings (overdose) Unintentional (X40-X44),14,21763
"Wyoming County, WV",2016,2016,All other non-drug and non-alcohol causes,295,21763
"Wyoming County, WV",2016,2016,,313,21763
"Wyoming County, WV",,,,1306,93475
,,,,86997,7343263
