type,county,name,address,city,zip
PUBLIC,Kanawha,George Washington High School,1522 Tennis Club Rd ,Charleston,25314
PUBLIC,Kanawha,Dunbar Middle School,325 27th Street ,Dunbar,25064
PUBLIC,Kanawha,Weberwood Elementary School,732 Gordon Road ,So. Charleston,25303
PUBLIC,Lewis,Lewis County High School,205 Minuteman Drive ,Weston,26452
PUBLIC,Lewis,Jane Lew Elementary School,6536 Main Street ,Jane Lew,26378
PUBLIC,Lewis,Leading Creek Elementary,15300 US Highway 33W,Linn,26384
PUBLIC,Lewis,Roanoke Elementary School,1176 Oil Creek Road ,Roanoke,26447
PUBLIC,Lewis,Robert L. Bland Middle School,358 Court Avenue ,Weston,26452
PUBLIC,Lewis,Peterson-Central Elementary School,509 Berlin Road ,Weston,26452
PUBLIC,Lincoln,Duval Pk-8,5304 Straight Fork,Griffithsville,25521
PUBLIC,Lincoln,Lincoln County High School,81 Lincoln Panther Way ,Hamlin,25523
PUBLIC,Lincoln,West Hamlin Elementary,114 Dairy Road,West Hamlin,25571
PUBLIC,Lincoln,Midway Elementary School,267 Midway Road,Alum Creek,25003
PUBLIC,Lincoln,Hamlin Pk-8,8130 Court Ave ,Hamlin,25523
PUBLIC,Lincoln,Guyan Valley Middle,5312 McClellan Hwy,Branchland,25506
PUBLIC,Lincoln,Ranger Elementary,59 Vanatters Creek ,Ranger,25557
PUBLIC,Lincoln,Harts Pk-8,1246 Mcclellan Highway ,Harts,25524
PUBLIC,Logan,Chapmanville Middle School,300 Vance St. ,Chapmanville,25508
PUBLIC,Logan,Buffalo Elementary School,Po Box 310 ,Accoville,25606
PUBLIC,Logan,Man Elementary School,Box 269 ,Mallory,25634
PUBLIC,Logan,Omar Elementary,Route 44 Box 590,Omar,25638
PUBLIC,Logan,Verdunville Elementary School,Drawer J Hill Drive,Verdunville,25649
PUBLIC,Logan,Logan Elementary School,Midelburg Island ,Logan,25601
PUBLIC,Logan,Man Senior High School,800 East Mcdonald Avenue ,Man,25635
PUBLIC,Logan,Hugh Dingess Elementary School,Rt. 1 Box 607,Harts,25524
PUBLIC,Logan,Chapmanville Regional High School,200 Vance Street ,Chapmanville,25508
PUBLIC,Logan,Chapmanville East Elementary School,P.o. Box 340 ,Chapmanville,25508
PUBLIC,Logan,Logan Middle School,14 Wildcat Way ,Logan,25601
PUBLIC,Logan,Man Middle School,Box 390 ,Mallory,25634
PUBLIC,Logan,West Chapmanville Elementary School,100 Vance Street Box 310,Chapmanville,25508
PUBLIC,Logan,South Man Elementary School,301 East Mcdonald Avenue ,Man,25635
PUBLIC,Logan,Ralph R. Willis Vocational Center,Three Mile Curve Po Box 1747,Logan,25601
PUBLIC,Logan,Justice Elementary School,407 Circle Dirve ,Logan,25601
PUBLIC,Logan,Logan Senior High School,1 Wildcat Way ,Logan,25601
PUBLIC,Logan,Holden Central Elementary School,Box M ,Holden,25625
PUBLIC,Marion,Monongah Middle School,550 Camden Avenue ,Monongah,26554
PUBLIC,Marion,East Dale Elementary School,Rt.3  57 East Dale Road ,Fairmont,26554
PUBLIC,Marion,Fairview Middle School,17 Jesses Run Road ,Fairview,26570
PUBLIC,Marion,Barrackville Elementary/Middle School,P O Box 150 509 Pike Street,Barrackville,26559
PUBLIC,Marion,Marion County Technical Center,2 North Marion Drive Route 250 North,Farmington,26571
PUBLIC,Marion,White Hall Elementary School,38 Emerald Lane ,White Hall,26554
PUBLIC,Marion,North Marion High School,1 North Marion Drive ,Farmington,26571
PUBLIC,Marion,Pleasant Valley Elementary School,1858 Valley School Road ,Pleasant Valley,26554
PUBLIC,Marion,East Fairmont High School,1993 Airport Road ,Fairmont,26554
PUBLIC,Marion,Jayenne Elementary School,1504 Country Club Road ,Fairmont,26554
PUBLIC,Marion,West Fairmont Middle School,1010 Tenth Street ,Fairmont,26554
PUBLIC,Marion,East Park Elementary School,1025 Fairfax Street ,Fairmont,26554
PUBLIC,Marion,Mannington Middle School,113 Clarksburg Street ,Mannington,26582
PUBLIC,Marion,Rivesville Elementary/Middle School,229 Phillips Avenue ,Rivesville,26588
PUBLIC,Marion,Blackshere Elementary School,77 Blackshere Drive ,Mannington,26582
PUBLIC,Marion,Marion Co Adult And Community Ed Center,601 Locust Ave. ,Fairmont,26554
PUBLIC,Marion,Barnes Learning Center (Alc),100 Naomi Street ,Fairmont,26554
PUBLIC,Marion,Watson Elementary School,1579 Mary Lou Retton Dr ,Fairmont,26554
PUBLIC,Marion,Fairmont Senior High School,Loop Park Drive ,Fairmont,26554
PUBLIC,Marion,Monongah Elementary School,628 Walnut Street ,Monongah,26554
PUBLIC,Marion,East Fairmont Middle School,221 Mason Street,Fairmont,26554
PUBLIC,Marion,Fairview Elementary School,Po Box 39 100 School Street,Fairview,26570
PUBLIC,Marshall,Moundsville Middle School,223 Tomlinson Avenue ,Moundsville,26041
PUBLIC,Marshall,Washington Lands Elementary School,Rr 4 Box 255 ,Moundsville,26041
PUBLIC,Marshall,Mcninch Primary School,2600 Fourth Street ,Moundsville,26041
PUBLIC,Marshall,John Marshall Adult Prep,John Marshall High School 1300 Wheeling Avenue,Glen Dale,26038
PUBLIC,Marshall,Glen Dale Elementary School,407 Seventh Street ,Glen Dale,26038
PUBLIC,Marshall,John Marshall High School,1300 Wheeling Avenue ,Glen Dale,26038
PUBLIC,Marshall,Cameron Elementary School,12 Church Street ,Cameron,26033
PUBLIC,Marshall,Sherrard Middle School,1000 Fairmont Pike ,Wheeling,26003
PUBLIC,Marshall,Hilltop Elementary School,2 Ram Drive ,Wheeling,26003
PUBLIC,Marshall,Sand Hill Elementary School,Rr 1 Box 87 ,Dallas,26036
PUBLIC,Marshall,Center Mcmechen Elementary School,800 Marshall Street ,Mcmechen,26040
PUBLIC,Marshall,Gateway Achievement Center,21 Park Street ,Moundsville,26041
PUBLIC,Marshall,Central Elementary School,750 Tomlinson Avenue ,Moundsville,26041
PUBLIC,Marshall,Cameron High School,61 Maple Avenue ,Cameron,26033
PUBLIC,Mason,Beale Elementary School,12897 Huntington Road,Gallipolis Ferry,25515
PUBLIC,Mason,Wahama High School,P.o. Box 348 ,Mason,25260
PUBLIC,Mason,Hannan High School,15638 Ashton Upland Road ,Ashton,25503
PUBLIC,Mason,Pt. Pleasant Primary,2200 Lincoln Ave ,Pt. Pleasant,0
PUBLIC,Mason,Roosevelt Elementary School,Route 2 Box 841 ,Point Pleasant,25550
PUBLIC,Mason,Leon Elementary School,138 Aylor Street ,Leon,25123
PUBLIC,Mason,Mason County Career Center,281 Scenic Drive ,Point Pleasant,25550
PUBLIC,Mason,Point Pleasant Junior/Senior High School,Rt. 1 Box 4 ,Point Pleasant,25550
PUBLIC,Mason,Pt. Pleasant Intermediate,1 Walden Way ,Pt. Pleasant,0
PUBLIC,Mason,Ashton Elementary School,4250 Ashton-Upland Road ,Ashton,25503
PUBLIC,Mason,Mason County School For Success,758 Scenic Drive,Point Pleasant,25550
PUBLIC,Mason,New Haven Elementary School,P.o. Box 989 ,New Haven,25265
PUBLIC,McDowell,River View High School,512 Mountaineer Highway ,Bradshaw,24817
PUBLIC,McDowell,Southside K-8,Po Box 730 ,War,24892
PUBLIC,McDowell,Kimball Elementary School,Box 308 Route #52,Kimball,24853
PUBLIC,McDowell,Fall River Elementary School,Route 7 Drawer 70 ,Big Sandy,24816
PUBLIC,McDowell,Career And Technology Center,Drawer V ,Welch,24801
PUBLIC,McDowell,Anawalt Elementary School,Box 230 ,Anawalt,24808
PUBLIC,McDowell,Mount View High School,960 Mount View Road ,Welch,24801
PUBLIC,McDowell,Sandy River Middle School,P.o. Box 419 ,Avondale,24811
PUBLIC,McDowell,Welch Elementary School,1235 Stewart Street ,Welch,24801
PUBLIC,McDowell,Iaeger Elementary School,P.o. Box 359 Waters Street,Iaeger,24844
PUBLIC,McDowell,Bradshaw Elementary School,P.o. Box 40 ,Bradshaw,24817
PUBLIC,McDowell,Phoenix Center,275 Virginia Avenue ,Welch,24801
PUBLIC,Mercer,Pikeview Middle School,3550 Eads Mill Road ,Princeton,24740
PUBLIC,Mercer,Mercer Elementary School,1200 Mercer Street ,Princeton,24740
PUBLIC,Mercer,Princeton Primary,219b Old Bluefield Road ,Princeton,24740
PUBLIC,Mercer,Melrose Elementary School,"Hc 71, Box 257 ",Princeton,24740
PUBLIC,Mercer,Mercer County Early Learning Center,821 Broadway Street ,Princeton,24740
PUBLIC,Mercer,Glenwood School,1734 Glenwood Park Road ,Princeton,24740
PUBLIC,Mercer,Pikeview High School,3566 Eads Mill Road ,Princeton,24740
PUBLIC,Mercer,Sun Valley Elementary School,Po Box 10 ,Lerona,25971
PUBLIC,Mercer,Brushfork Elementary School,Rt 4  Box 93 ,Bluefield,24701
PUBLIC,Mercer,Montcalm High School,5366 Simmons River Road,Rock,24747
PUBLIC,Mercer,Spanishburg School,Po Box 7 ,Spanishburg,25922
PUBLIC,Mercer,Athens School,Po Box 568 ,Athens,24712
PUBLIC,Mercer,Princeton Middle School,300 N. Johnston Street ,Princeton,24740
PUBLIC,Mercer,Montcalm Elementary School,Rt 2 Box 35 ,Rock,24747
PUBLIC,Mercer,Bluefield Middle School,2002 Stadium Drive ,Bluefield,24701
PUBLIC,Mercer,Memorial Primary,319  Memorial Avenue ,Bluefield,24701
PUBLIC,Mercer,Bluefield Intermediate,1301 Southview Drive ,Bluefield,24701
PUBLIC,Mercer,Lashmeet/Matoaka School,Po  Box 408 ,Matoaka,24736
PUBLIC,Mercer,Mercer County Technical Education Center,1397 Stafford Drive ,Princeton,24740
PUBLIC,Mercer,Whitethorn Elementary School,1919 Maryland Avenue ,Bluefield,24701
PUBLIC,Mercer,Ceres Elementary School,Rt 2  Box 189 ,Bluefield,24701
PUBLIC,Mercer,Princeton Senior High School,1321 Stafford Drive ,Princeton,24740
PUBLIC,Mercer,Straley Elementary School,810 Straley Avenue ,Princeton,24740
PUBLIC,Mercer,Bluewell Elementary School,Rt 4  Box 480 ,Bluefield,24701
PUBLIC,Mercer,Bluefield High School,535 West Cumberland Road ,Bluefield,24701
PUBLIC,Mercer,Oakvale School,2503 Goodwins Chapel Road ,Princeton,24740
PUBLIC,Mineral,Burlington Primary,10474 Patterson Creek Road,Burlington,26710
PUBLIC,Mineral,Mineral County Alternative School,89 Baker Place,Keyser,26726
PUBLIC,Mineral,Elk Garden School,86 Elk Garden Highway,Elk Garden,26717
PUBLIC,Mineral,Frankfort High School,393 Falcon Way,Ridgeley,26753
PUBLIC,Mineral,Frankfort Middle School,356 Golden Drive,Ridgeley,26753
PUBLIC,Mineral,New Creek Primary School,"PO Box 97, 85 New Creek School Road",New Creek,26743
PUBLIC,Mineral,Fort Ashby Primary School,44 Fort Ashby Primary School Road,Ft. Ashby,26719
PUBLIC,Mineral,Mineral County Technical Center,981 Harley O. Staggers Drive ,Keyser,26726
PUBLIC,Mineral,Keyser Middle School,879 Harley O. Staggers Drive ,Keyser,26726
PUBLIC,Mineral,Keyser High School,328 One Tornado Way,Keyser,26726
PUBLIC,Mineral,Frankfort Intermediate School,284 Intermediate Drive,Fort Ashby,26719
PUBLIC,Mineral,Wiley Ford Primary School,PO Box 20 ,Wiley Ford,26767
PUBLIC,Mineral,Fountain Primary School,289 Fountain School Road,Keyser,26726
PUBLIC,Mineral,Keyser Primary School,1123 Harley O. Staggers Drive,Keyser,26726
PUBLIC,Mingo,Williamson PK-8,Alderson Street ,Williamson,25661
PUBLIC,Mingo,Mingo Central Comprehensive High,1000 King Coal Highway,Delbarton,25670
PUBLIC,Mingo,Mingo County Extended Learning Center,Rt. 2 Box 52-A,Delbarton,25670
PUBLIC,Mingo,Matewan Elementary School,100 Chambers Street ,Matewan,25678
PUBLIC,Mingo,Williamson High School,801 Alderson Street ,Williamson,25661
PUBLIC,Mingo,Gilbert Elementary,Rt. 52 Elementary School Dr. ,Gilbert,25621
PUBLIC,Mingo,Gilbert High School,100 Lion Drive ,Gilbert,25621
PUBLIC,Mingo,Burch Pk-6,Rt. 3 Box 4-B ,Delbarton,25670
PUBLIC,Mingo,Gilbert Middle School,100 Lion Drive ,Gilbert,25621
PUBLIC,Mingo,Matewan PK-8,200 Tiger Lane ,Matewan,25678
PUBLIC,Mingo,Mingo Career & Technical Center,Route 2 Box 52 A ,Delbarton,25670
PUBLIC,Mingo,Kermit Area School (K-8),Blue Devil Lane ,Kermit,25674
PUBLIC,Mingo,Tug Valley High School,555 Panther Drive ,Williamson,25661
PUBLIC,Mingo,Riverside Elementary School,5 Parkway Drive ,Williamson,25661
PUBLIC,Mingo,Matewan High School,100 Tiger Lane ,Matewan,25678
PUBLIC,Mingo,Dingess Elementary School,101 Schoolhouse Rd. ,Dingess,25671
PUBLIC,Mingo,Burch High School,Rt. 2 Box 521-A ,Delbarton,25670
PUBLIC,Mingo,Lenore K-8 School,#1 Ranger Drive ,Williamson,25661
PUBLIC,Mingo,Burch PK-8,Rt. 2 Box 52-1a ,Delbarton,25670
PUBLIC,Monongalia,Mason-Dixon  Elementary,7041 Mason Dixon Highway ,Blacksville,26521
PUBLIC,Monongalia,University High School,131 Baker`s Ridge Road ,Morgantown,26508
PUBLIC,Monongalia,Cheat Lake Elementary School,154 Crosby Road ,Morgantown,26508
PUBLIC,Monongalia,Clay-Battelle High School,Drawer A ,Blacksville,26521
PUBLIC,Monongalia,North Elementary School,825 Chestnut Ridge Road ,Morgantown,26505
PUBLIC,Monongalia,Eastwood Elementary School,677 201 St. Memorial Hwy,Morgantown,26505
PUBLIC,Monongalia,South Middle School,500 East Parkway Drive ,Morgantown,26501
PUBLIC,Monongalia,Brookhaven Elementary School,1215 Baker Street ,Morgantown,26508
PUBLIC,Monongalia,Mountaineer Middle School,991 Price Street ,Morgantown,26505
PUBLIC,Monongalia,Skyview Elementary School,668 River Road ,Morgantown,26501
PUBLIC,Monongalia,Technical Education Center,1000 Mississippi Street ,Morgantown,26501
PUBLIC,Monongalia,Mountainview Elementary School,661 Greenbag Road ,Morgantown,26508
PUBLIC,Monongalia,Morgantown High School,109 Wilson Avenue ,Morgantown,26501
PUBLIC,Monongalia,Suncrest Primary,523 Junior Avenue ,Morgantown,26505
PUBLIC,Monongalia,Suncrest Middle School,360 Baldwin Street ,Morgantown,26505
PUBLIC,Monongalia,Ridgedale Elementary School,1550 Goshen Road ,Morgantown,26508
PUBLIC,Monongalia,Westwood Middle School,670 River Road ,Morgantown,26501
PUBLIC,Monongalia,Mylan Park Elementary School,901 Mylan Park Lane ,Morgantown,26501
PUBLIC,Monroe,James Monroe High School,Rt. 1 Box 97-1-A James Monroe Drive,Lindside,24951
PUBLIC,Monroe,Mountain View Elementary & Middle School,Mt. View Drive P.o. Box 620,Union,24983
PUBLIC,Monroe,Monroe County Vocational Center,"Route 1, Box 97 James Monroe Drive",Lindside,24951
PUBLIC,Monroe,Peterstown Middle School,108 College Drive ,Peterstown,24963
PUBLIC,Monroe,Peterstown Elementary,36 College Drive ,Peterstown,24963
PUBLIC,Morgan,Berkeley Springs High School,149 Concord Avenue ,Berkeley Springs,25411
PUBLIC,Morgan,Warm Springs Intermediate School,575 Warm Springs Way ,Berkeley Springs,25411
PUBLIC,Morgan,Pleasant View Elementary School,10500 Martinsburg Road ,Hedgesville,25427
PUBLIC,Morgan,Greenwood Elementary School,8989 Winchester Grade Road ,Berkeley Springs,25411
PUBLIC,Morgan,Paw Paw High School,60 Pirate Circle ,Paw Paw,25434
PUBLIC,Morgan,Warm Springs Middle School,271 Warm Springs Way ,Berkeley Springs,25411
PUBLIC,Morgan,Widmyer Elementary,10 Myers Road ,Berkeley Springs,25411
PUBLIC,Morgan,Paw Paw Elementary School,60 Pirate Circle ,Paw Paw,25434
PUBLIC,Nicholas,Richwood High School,1 Valley Ave. ,Richwood,26261
PUBLIC,Nicholas,Gauley River Elementary,100 School Street,Craigsville,26205
PUBLIC,Nicholas,Summersville Middle School,40 Grizzly Rd ,Summersville,26651
PUBLIC,Nicholas,Birch River Elementary School,379 Birch River Road ,Birch River,26610
PUBLIC,Nicholas,Panther Creek Elementary School,10068 Canvas Nettie Road P.o.box 39,Nettie,26681
PUBLIC,Nicholas,Summersville Elementary School,108 Mckees Creek Rd ,Summersville,26651
PUBLIC,Nicholas,Mt Lookout Elementary School,1945 Mt. Lookout Road ,Mt Lookout,26678
PUBLIC,Nicholas,Nicholas County Career/Technical Center,215 Milam Addition Rd ,Craigsville,26205
PUBLIC,Nicholas,Dixie Elementary School,Po Box 288 1988 Dixie Highway,Dixie,25059
PUBLIC,Nicholas,Nicholas County High School,30 Grizzly Rd ,Summersville,26651
PUBLIC,Nicholas,Cherry River Elementary School,190 Riverside Drive ,Richwood,26261
PUBLIC,Nicholas,Richwood Middle School,2 Valley Avenue ,Richwood,26261
PUBLIC,Nicholas,Zela Elementary School,165 Country Road ,Summersville,26651
PUBLIC,Nicholas,Mt Nebo Elementary School,Po Box 160 110 Schoolhouse Lane,Mt. Nebo,26651
PUBLIC,Nicholas,Glade Creek Elementary School,7950 Webster Road ,Summersville,26651
PUBLIC,Ohio,West Liberty Elementary School,745 Van Meter Way ,Wheeling,26003
PUBLIC,Ohio,Ritchie Elementary School,3700 Wood St ,Wheeling,26003
PUBLIC,Ohio,Madison Elementary School,91 Zane St ,Wheeling,26003
PUBLIC,Ohio,Wheeling Middle School,35th and Chapline St ,Wheeling,26003
PUBLIC,Ohio,Bethlehem Elementary School,22 Chapel Rd ,Wheeling,26003
PUBLIC,Ohio,Triadelphia Middle School,1636 National Rd ,Wheeling,26003
PUBLIC,Ohio,Woodsdale Elementary School,1 Bethany Pike ,Wheeling,26003
PUBLIC,Ohio,Steenrod Elementary School,100 Clarks Ln ,Wheeling,26003
PUBLIC,Ohio,Middle Creek Elementary School,579 Middle Creek Road ,Triadelphia,26059
PUBLIC,Ohio,Wheeling Park High School,1976 Park View Rd ,Wheeling,26003
PUBLIC,Ohio,Elm Grove Elementary School,85 Mil Acres Dr ,Wheeling,26003
PUBLIC,Ohio,Warwood School,150 Viking Dr ,Wheeling,26003
PUBLIC,Ohio,Bridge Street Middle School,19 Junior Ave ,Wheeling,26003
PUBLIC,Pendleton,Brandywine Elementary School,11480 Blue Gray Trail P. O. Box 247,Brandywine,26802
PUBLIC,Pendleton,Pendleton County Middle/High School,Po Box 40 409 Maple Avenue,Franklin,26807
PUBLIC,Pendleton,Franklin Elementary School,67 South Branch Street Po Box 848,Franklin,26807
PUBLIC,Pendleton,North Fork Elementary School,"Po Box 186, 189 Price Way",Circleville,26804
PUBLIC,Pleasants,Mid Ohio Valley Technical Institute,2134 N Pleasants Highway ,St Marys,26170
PUBLIC,Pleasants,Pleasants County Middle School,510 Riverview Drive ,Belmont,26134
PUBLIC,Pleasants,Belmont Elementary School,512 Riverview Drive ,Belmont,26134
PUBLIC,Pleasants,St. Marys High School,2330 N Pleasants Hwy,St Marys,26170
PUBLIC,Pleasants,St. Marys Elementary School,317 Washington Street ,St Marys,26170
PUBLIC,Pocahontas,Pocahontas County High School,"Route 1, Box 133a ",Dunmore,24934
PUBLIC,Pocahontas,Marlinton Elementary School,926a Fifth Avenue ,Marlinton,24954
PUBLIC,Pocahontas,Hillsboro Elementary School,"Hc 64, Box 399 ",Hillsboro,24946
PUBLIC,Pocahontas,Marlinton Middle School,"Route 2, Box 52s ",Buckeye,24924
PUBLIC,Pocahontas,Green Bank Elementary-Middle School,"Route 1, Box 5 ",Green Bank,24944
PUBLIC,Preston,Terra Alta/East Preston School,1103 East State Avenue ,Terra Alta,26764
PUBLIC,Preston,Rowlesburg School,46 Center Street ,Rowlesburg,26425
PUBLIC,Preston,South Preston School,5258 South Preston Highway,Tunnelton,26444
PUBLIC,Preston,West Preston School,113 Eby School Road,Arthurdale,26520
PUBLIC,Preston,Central Preston Middle School,500 Knight Drive ,Kingwood,26537
PUBLIC,Preston,Fellowsville Elementary,139 Fellowsville School Rd ,Tunnelton,26444
PUBLIC,Preston,Bruceton School,P.o. Box 141 141 Morgantown Street,Bruceton Mills,26525
PUBLIC,Preston,Aurora Elementary,125 Aurora School Road ,Aurora,26705
PUBLIC,Preston,Preston High School,400 Knight Drive ,Kingwood,26537
PUBLIC,Preston,Kingwood Elementary,207 S Price Street ,Kingwood,26537
PUBLIC,Putnam,Poca Middle School,P.o. Box 647 Route 62 South,Poca,25159
PUBLIC,Putnam,Hometown Elementary,P.o. Box 249 Route 62 North,Hometown,25109
PUBLIC,Putnam,George Washington Middle School,P.o. Box 660 Route 62 North,Eleanor,25070
PUBLIC,Putnam,Eastbrook Elementary School,1600 Bills Creek Road ,Winfield,25213
PUBLIC,Putnam,Winfield Elementary,2 Wall Street ,Winfield,25213
PUBLIC,Putnam,Confidence Elementary,Hc Box 163 ,Red House,25168
PUBLIC,Putnam,Winfield High School,3022 Winfield Road ,Winfield,25213
PUBLIC,Putnam,Scott Teays Elementary,4308 Teays Valley Road ,Scott Depot,25560
PUBLIC,Putnam,Hurricane High School,3350 Teays Valley Road ,Hurricane,25526
PUBLIC,Putnam,Poca Elementary,P.o. Box 430 Route 62 South,Poca,25159
PUBLIC,Putnam,Winfield Middle School,3280 Winfield Road ,Winfield,25213
PUBLIC,Putnam,Hurricane Town Elementary,300 Harbour Lane ,Hurricane,25526
PUBLIC,Putnam,Hurricane Middle,518 Midland Trail ,Hurricane,25526
PUBLIC,Putnam,George Washington Elementary School,P.o. Box 680 Route 62 North,Eleanor,25070
PUBLIC,Putnam,Mountain View Elementary School,3967 Teays Valley Road ,Hurricane,25526
PUBLIC,Putnam,Conner Street Elementary,445 Conner Street ,Hurricane,25526
PUBLIC,Putnam,Putnam Career & Technical Center,P.o. Box 640 300 Roosevelt Bldv,Eleanor,25070
PUBLIC,Putnam,West Teays Elementary,3676 Teays Vly Road ,Hurricane,25526
PUBLIC,Putnam,Buffalo Elementary School,"Rt. 2, Box 93 ",Buffalo,25033
PUBLIC,Putnam,Poca High School,"Rt. 1, Box 5b ",Poca,25159
PUBLIC,Putnam,Rock Branch Elementary,4616 1st Avenue ,Nitro,25143
PUBLIC,Putnam,Buffalo High School,3317 Buffalo Road ,Buffalo,25033
PUBLIC,Putnam,Lakeside Elementary,2550 Us Rt 60 ,Hurricane,25526
PUBLIC,Raleigh,Bradley Elementary School,210 Bradley School Road ,Mt Hope,25880
PUBLIC,Raleigh,Park Middle School,212 Park Avenue ,Beckley,25801
PUBLIC,Raleigh,Hollywood Elementary,Po Box 7 ,Macarthur,25873
PUBLIC,Raleigh,Raleigh-Boone Technical Center,11823 Coal River Road ,Whitesville,25209
PUBLIC,Raleigh,Beckley Elementary,399 Gray Flats Road ,Beckley,25801
PUBLIC,Raleigh,Fairdale Elementary School,Po Box 10 ,Fairdale,25839
PUBLIC,Raleigh,Woodrow Wilson High School,400 Stanaford Road ,Beckley,25801
PUBLIC,Raleigh,Marsh Fork Elementary,5690 Coal River Road ,Naoma,25174
PUBLIC,Raleigh,Crescent Elementary,205 Crescent Road ,Beckley,25801
PUBLIC,Raleigh,Liberty High School,Po Box 265 ,Glen Daniel,25844
PUBLIC,Raleigh,Shady Spring Elementary,Po Box 2009 ,Shady Spring,25918
PUBLIC,Raleigh,Crab Orchard Elementary,Po Box 727 Rt 16,Crab Orchard,25827
PUBLIC,Raleigh,Beckley-Stratton Middle School,401 Gray Flats Road ,Beckley,25801
PUBLIC,Raleigh,Maxwell Hill Elementary,1001 Maxwell Hill Road ,Beckley,25801
PUBLIC,Raleigh,Clear Fork District Elementary,P.o. Box 127 ,Clear Creek,25044
PUBLIC,Raleigh,Shady Spring Middle School,500 Flat Top Road ,Shady Spring,25918
PUBLIC,Raleigh,Lester Elementary,Box 727 ,Lester,25865
PUBLIC,Raleigh,Trap Hill Middle School,665 Coal River Road ,Glen Daniel,25844
PUBLIC,Raleigh,Ghent Elementary,Po Box 350 ,Ghent,25843
PUBLIC,Raleigh,Academy Of Careers And Technology,390 Stanaford Road ,Beckley,25801
PUBLIC,Raleigh,Stratton Elementary,1129 South Fayette Street ,Beckley,25801
PUBLIC,Raleigh,Daniels Elementary,Box 689 4-H Lake Road,Daniels,25832
PUBLIC,Raleigh,Shady Spring High,Po Box 2001 ,Shady Spring,25918
PUBLIC,Raleigh,Sophia-Soak Creek Elementary,Po Box 487 ,Sophia,25921
PUBLIC,Raleigh,Cranberry-Prosperity Elementary,4575 Robert C Byrd Dr ,Beckley,25801
PUBLIC,Raleigh,Independence High School,Po Box 1595 ,Coal City,25823
PUBLIC,Raleigh,Stanaford Elementary School,950 Stanaford Road ,Beckley,25801
PUBLIC,Raleigh,Coal City Elementary,Po Box 1240 ,Coal City,25823
PUBLIC,Raleigh,Independence Middle School,Po Box 1171 ,Sophia,25921
PUBLIC,Raleigh,Mabscott Elementary,Box 174 ,Mabscott,25871
PUBLIC,Randolph,Elkins Middle School,308 Robert E. Lee Avenue ,Elkins,26241
PUBLIC,Randolph,Coalton Elementary School,P.o. Box 129 ,Coalton,26257
PUBLIC,Randolph,North Elementary School,"Route 2, Box 320 ",Elkins,26241
PUBLIC,Randolph,Homestead Elementary School,P.o. Box 158 ,Dailey,26259
PUBLIC,Randolph,Elkins Third Ward Elementary School,111 Nathan Street ,Elkins,26241
PUBLIC,Randolph,Randolph County Alternative Center,40 11th Street ,Elkins,26241
PUBLIC,Randolph,Beverly Elementary School,P.o. Box 209 ,Beverly,26253
PUBLIC,Randolph,Tygarts Valley Middle/High School,10189 Seneca Trail,Mill Creek,26280
PUBLIC,Randolph,Harman Elementary/High School,Po Box 130 ,Harman,26270
PUBLIC,Randolph,Valley Head Elementary School,General Delivery ,Valley Head,26294
PUBLIC,Randolph,Midland Elementary School,150 Kennedy Drive ,Elkins,26241
PUBLIC,Randolph,George Ward Elementary School,P.o. Box 278 ,Mill Creek,26280
PUBLIC,Randolph,Randolph Technical Center,200 Kennedy Drive ,Elkins,26241
PUBLIC,Randolph,Jennings Randolph Elementary School,101 Scott Ford Road ,Elkins,26241
PUBLIC,Randolph,Elkins High School,100 Kennedy Drive ,Elkins,26241
PUBLIC,Randolph,Pickens Elementary/High School,One Panther Place ,Pickens,26230
PUBLIC,Ritchie,Ritchie County High School,107 Ritchie County School Rd ,Ellenboro,26346
PUBLIC,Ritchie,Smithville Elementary,P O Box 30 ,Smithville,26178
PUBLIC,Ritchie,Harrisville Elementary,1201 E Main Street ,Harrisville,26362
PUBLIC,Ritchie,Ritchie County Middle,105 Ritchie County School Rd ,Ellenboro,26346
PUBLIC,Ritchie,Creed Collins Elementary,512 Collins Avenue ,Pennsboro,26415
PUBLIC,Ritchie,Ellenboro Elementary,P O Box 219 ,Ellenboro,26346
PUBLIC,Roane,Roane-Jackson Technical Center,9450 Spencer Rd,Leroy,25252
PUBLIC,Roane,Spencer Middle School,102 Chapman Avenue ,Spencer,25276
PUBLIC,Roane,Spencer Elementary School,85 Clay Road ,Spencer,25276
PUBLIC,Roane,Geary Elementary School,P O Box 89 ,Left Hand,25251
PUBLIC,Roane,Roane County High,One Raider Way ,Spencer,25276
PUBLIC,Roane,Walton Elementary/Middle School,90 School Drive ,Walton,25286
PUBLIC,Roane,Reedy Elementary School,Roosevelt St ,Reedy,25270
PUBLIC,Summers,Grads, ,,0
PUBLIC,Summers,Jumping Branch Elementary School,P O  Box 9 ,Jumping Branch,25969
PUBLIC,Summers,Talcott Elementary School,P O  Box 140 ,Talcott,24981
PUBLIC,Summers,Summers County High School,One Bobcat Drive ,Hinton,25951
PUBLIC,Summers,Summers Middle School,400 Temple St ,Hinton,25951
PUBLIC,Summers,Hinton Area Elementary School,121 Park Avenue ,Hinton,25951
PUBLIC,Taylor,Anna Jarvis Elementary School,650 N. Pike Street ,Grafton,26354
PUBLIC,Taylor,Taylor County Vocational Center,115 Luby St ,Grafton,26354
PUBLIC,Taylor,Taylor County Middle School,"Rt. 2, Box 148a ",Grafton,26354
